"","plDate","N","P","K","WLY","CurrentY","TargetY","TC","NR","NPK17_17_17","DAP","MOP","Urea","FCY","plw","harvMonth","STATE","DISTRICT","respY","groRev","plm","rateNPK171717","rateDAP"
"7355",281,86.6636544630301,20.5990928581993,40.1252979770875,92.2614,14.38995,31.2951377564172,197696.25,1070195,59.6875,78.2375,52.025,135.7875,"level2",41,13,"Amajyaruguru","Rulindo",16.9051877564172,1267891.25,"October",59.6875,78.2375
"7381",281,86.7990375176347,20.7522114451394,40.0947552123869,105.4600125,14.8698,31.8565224000206,197758.75,1076248.75,58.125,79.6375,52.2875,136.05,"level2",41,14,"Amajyaruguru","Burera",16.9867224000206,1274007.5,"October",58.125,79.6375
"7382",281,86.2696974216543,21.0145210616097,38.2883756283059,98.8359886363636,14.7525,31.6922330850518,197201.136363636,1073270.45454545,63.9431818181818,78.5568181818182,47.8409090909091,133.306818181818,"level2",41,14,"Amajyaruguru","Gakenke",16.9397330850518,1270471.59090909,"October",63.9431818181818,78.5568181818182
"7383",281,85.41064087123,21.045198175776,38.8421366284626,118.457388888889,14.8394444444444,31.6201947329738,196355.555555556,1062198.14814815,62.3333333333333,79.3518518518518,49.1296296296296,131.685185185185,"level2",41,14,"Amajyaruguru","Gicumbi",16.7807502885293,1258553.7037037,"October",62.3333333333333,79.3518518518518
"7384",281,86.5808655609205,20.5902387232753,42.0300290713531,106.878088235294,15.1348235294118,32.1502106651711,198008.823529412,1078145.58823529,52.9558823529412,80.9264705882353,56.8823529411765,137.044117647059,"level2",41,14,"Amajyaruguru","Musanze",17.0153871357593,1276154.41176471,"October",52.9558823529412,80.9264705882353
"7385",281,85.9629800681278,20.8512250352142,39.2429359403089,104.5157625,14.38995,31.1874843365682,197333.75,1062481.25,63.7875,77.8125,49.5,132.9375,"level2",41,14,"Amajyaruguru","Rulindo",16.7975343365682,1259815,"October",63.7875,77.8125
"7411",281,86.5173947594635,20.8740283213599,39.7329636296791,116.815575,14.8698,31.8175885152002,197647.5,1073441.25,59.7875,79.5875,51.2125,134.875,"level2",41,15,"Amajyaruguru","Burera",16.9477885152002,1271088.75,"October",59.7875,79.5875
"7412",281,86.5686317206101,20.9123566289135,38.6537682272258,110.588181818182,14.7525,31.7367123728726,197413.636363636,1076394.31818182,62.4659090909091,78.6818181818182,48.8181818181818,134.443181818182,"level2",41,15,"Amajyaruguru","Gakenke",16.9842123728726,1273807.95454545,"October",62.4659090909091,78.6818181818182
"7413",281,85.8776811750448,20.5994263665735,39.5927060627618,128.029388888889,14.8394444444444,31.6580140593753,195620.37037037,1065767.59259259,56.6111111111111,79.4814814814815,51.8611111111111,134.768518518519,"level2",41,15,"Amajyaruguru","Gicumbi",16.8185696149309,1261387.96296296,"October",56.6111111111111,79.4814814814815
"7414",281,86.9700138297212,20.4912672395766,42.5393848171393,118.395838235294,15.1348235294118,32.2173518808798,198335.294117647,1082858.82352941,51.0588235294118,81.1764705882353,58.2058823529412,138.426470588235,"level2",41,15,"Amajyaruguru","Musanze",17.082528351468,1281194.11764706,"October",51.0588235294118,81.1764705882353
"7415",281,86.0057758828369,20.8496824063711,39.2173043119508,114.996375,14.38995,31.1893972355447,197303.75,1062657.5,63.75,77.7875,49.425,133.0375,"level2",41,15,"Amajyaruguru","Rulindo",16.7994472355447,1259961.25,"October",63.75,77.7875
"7441",288,28.0186202620946,0,34.7422130469096,17.32535,13.61905,17.3004945664496,66651.6666666667,209448.333333333,0,0,57.9166666666667,60.8666666666667,"level2",42,8,"Amajyaruguru","Burera",3.68144456644956,276100,"October",0,0
